	14 3		33.66  36.15  118  0.673
	14 4		40.65  14.56  133  0.676
	14 5		22.51  38.92  268  0.302
	14 6		30.77  25.07  363  0.971
	14 7		35.67  33.46  165  0.997
	14 8		13.21  14.07  357  0.816
	14 9		46.2   39.52  193  0.641
	14 10		29.54  10.67  488  0.876
	14 11		48.62  25.23  165  0.565
	14 12		37.33  12.89  152  0.966
	14 13		29.45  14.92  274  0.233
	14 15		46.63  38.48  431  0.039
	15 0		22.72  31.86  141  0.126
	15 1		23.11  27.55  264  0.658
	15 2		26.03  39.32  137  0.393
	15 3		28.34  48.92  485  0.422
	15 4		34.8   36.22  334  0.754
	15 5		30.53  42.44  319  0.01 
	15 6		23.07  12.25  418  0.376
	15 7		43.12  14.67  420  0.372
	15 8		28.22  23.3   326  0.407
	15 9		24.44  36.71  366  0.667
	15 10		40.92  10.39  468  0.916
	15 11		24.4   39.43  259  0.388
	15 12		42.13  27.57  288  0.334
	15 13		37.15  23.81  296  0.016
	15 14		20.63  17.25  234  0.711;

param Q :=
	1	58
	2	35
	3	47
	4	87
	5	98
	6	57
	7	67
	8	22;

param TTAR :=
	1	0.77
	2	0.5
	3	0.8
	4	0.56
	5	0.27
	6	0.46
	7	0.17
	8	0.94;

param f :=
	1	23
	2	20
	3	21
	4	19
	5	36
	6	28
	7	25
	8	15;

